If A is -171, 59, 36, 76, then B is 26, 10.
If A is -58, -65, -50, 173, then B is 0, 25.
If A is -68, 172, -35, -68, then B is 21, 0.
If A is -34, -74, -63, 171, then B is 18, 11.
If A is -59, -59, 173, -55, then B is 13, 4.
If A is -71, -74, 170, -25, then B is 0, 28.
If A is -94, -35, -39, 169, then B is 19, 6.
If A is -69, -32, 171, -69, then B is 14, 12.
If A is 118, 80, -107, -91, then B is 9, 32.
If A is -59, -53, -62, 173, then B is 12, 14.
If A is -58, -58, 173, -58, then B is 0, 12.
If A is 107, 93, -97, -103, then B is 13, 0.
If A is -68, -41, 172, -64, then B is 19, 0.
If A is 140, -66, 45, -119, then B is 79, 27.
If A is 40, 145, -90, -96, then B is 12, 13.
If A is -58, -58, -57, 173, then B is 4, 3.
If A is -39, -65, -68, 172, then B is 51, 10.
If A is 173, -44, -67, -61, then B is 18, 0.
If A is 155, 21, -97, -78, then B is 3, 6.
If A is 93, -65, -130, 101, then B is 6, 15.
If A is 17, -76, -97, 156, then B is 0, 24.
If A is -70, -71, -30, 171, then B is 0, 13.
If A is -44, 173, -63, -66, then B is 8, 26.
If A is 172, -50, -49, -73, then B is 30, 16.
If A is -98, 64, -96, 130, then B is 0, 17.
If A is -111, 96, -88, 103, then B is 20, 11.
If A is 111, -98, 88, -101, then B is 13, 0.
If A is -93, 119, -104, 79, then B is 0, 22.
If A is -27, -38, -101, 166, then B is 6, 15.
If A is -95, 136, -97, 56, then B is 0, 30.
If A is -12, -82, -73, 167, then B is 5, 6.
If A is -58, 173, -58, -58, then B is 23, 0.
If A is 163, -100, -6, -58, then B is 20, 0.
If A is -96, 165, -11, -58, then B is 8, 23.
If A is 126, -69, -122, 66, then B is 6, 31.
If A is -87, -88, 155, 21, then B is 0, 15.
If A is -66, 172, -69, -37, then B is 8, 44.
If A is -104, -64, 158, 11, then B is 21, 20.
If A is -53, 173, -60, -60, then B is 21, 0.
If A is -44, -54, -74, 172, then B is 32, 11.
If A is 166, -8, -81, -77, then B is 10, 9.
If A is -20, 31, 133, -145, then B is 10, 20.
If A is 116, 82, -103, -96, then B is 6, 12.
If A is -48, -29, -91, 169, then B is 15, 12.
If A is -75, 136, -114, 53, then B is 19, 0.
If A is -73, 170, -73, -24, then B is 0, 13.
If A is -63, 173, -46, -63, then B is 20, 0.
If A is -64, -50, 173, -60, then B is 0, 21.
If A is -68, -25, 170, -76, then B is 20, 11.
If A is -107, 123, -89, 74, then B is 0, 18.
If A is -119, -77, 119, 77, then B is 0, 23.
If A is -64, 172, -39, -69, then B is 0, 23.
If A is -117, -19, -24, 159, then B is 0, 14.
If A is -91, 26, -88, 153, then B is 29, 0.
If A is 168, -70, -16, -81, then B is 17, 0.
If A is -95, -92, 143, 45, then B is 0, 19.
If A is -57, -58, 173, -58, then B is 0, 20.
If A is -58, -58, 173, -57, then B is 0, 18.
If A is -55, -59, 173, -59, then B is 15, 0.
If A is -71, -83, -13, 167, then B is 0, 21.
If A is -22, 169, -85, -61, then B is 0, 22.
If A is 173, -63, -56, -54, then B is 7, 15.
If A is 162, -98, 1, -64, then B is 14, 21.
If A is 155, -117, -47, 8, then B is 17, 0.
If A is -66, -43, 173, -64, then B is 7, 16.
If A is -43, -67, 173, -62, then B is 0, 19.
If A is -119, 30, -58, 147, then B is 38, 7.
If A is 78, -101, -97, 120, then B is 7, 7.
